number,code,emoji,name,name.var
231,U+1F471 U+200D U+2640 U+FE0F,👱‍♀️,woman: blond hair,woman_blond_hair
232,U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,man: blond hair,man_blond_hair
233,U+1F9D3,🧓,older person,older_person
234,U+1F474,👴,old man,old_man
235,U+1F475,👵,old woman,old_woman
236,U+1F64D,🙍,person frowning,person_frowning
237,U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,man frowning,man_frowning
238,U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,woman frowning,woman_frowning
239,U+1F64E,🙎,person pouting,person_pouting
240,U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,man pouting,man_pouting
241,U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,woman pouting,woman_pouting
242,U+1F645,🙅,person gesturing NO,person_gesturing_NO
243,U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,man gesturing NO,man_gesturing_NO
244,U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,woman gesturing NO,woman_gesturing_NO
245,U+1F646,🙆,person gesturing OK,person_gesturing_OK
246,U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,man gesturing OK,man_gesturing_OK
247,U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,woman gesturing OK,woman_gesturing_OK
248,U+1F481,💁,person tipping hand,person_tipping_hand
249,U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,man tipping hand,man_tipping_hand
250,U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,woman tipping hand,woman_tipping_hand
251,U+1F64B,🙋,person raising hand,person_raising_hand
252,U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,man raising hand,man_raising_hand
253,U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,woman raising hand,woman_raising_hand
254,U+1F9CF,🧏,deaf person,deaf_person
255,U+1F9CF U+200D U+2642 U+FE0F,🧏‍♂️,deaf man,deaf_man
256,U+1F9CF U+200D U+2640 U+FE0F,🧏‍♀️,deaf woman,deaf_woman
257,U+1F647,🙇,person bowing,person_bowing
258,U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,man bowing,man_bowing
259,U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,woman bowing,woman_bowing
