"author","title","description","url","urlToImage","publishedAt","content","id","name"
"Steven Goff","La Liga returns with Lionel Messi, a tight Barça-Real Madrid title race and games every day","Spain's top league will return from three-month layoff this week and feature a thrilling championship race between two of the top clubs in the world.","https://www.washingtonpost.com/sports/2020/06/09/la-liga-returns-with-lionel-messi-tight-bara-real-madrid-title-race-games-every-day/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/XGCNJ2FHEAI6VCMOWINZVA7XSI.jpg&w=1440","2020-06-09T19:10:13Z","Typically a weekend and occasional midweek sport, top-flight soccer in Spain will look more like baseball or basketball.
La Liga is not the first major soccer league to return from the shutdown caus… [+5050 chars]","the-washington-post","The Washington Post"
"Marcelo Silva De Sousa | AP","Brazil ministry ordered to resume publishing full virus data","A Brazilian Supreme Court justice has ordered the government of President Jair Bolsonaro to resume publication of full COVID-19 data, including the cumulative death toll, following allegations that the government was trying to hide the severity of the pandemi…","https://www.washingtonpost.com/world/the_americas/brazil-ministry-ordered-to-resume-publishing-full-virus-data/2020/06/09/9e5a5736-aa83-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=&w=1440","2020-06-09T19:01:27Z","Brazils health ministry stopped publishing the number of total COVID-19 deaths and confirmed coronavirus cases on Friday. The restriction on the release of data, combined with its announcement after … [+924 chars]","the-washington-post","The Washington Post"
"Philip Bump","Republicans find more fault with police than Trump when it comes to protests","The president's effort to focus negative attention on a third party has paid off — to some extent.","https://www.washingtonpost.com/politics/2020/06/09/republicans-find-more-fault-with-police-than-trump-when-it-comes-protests/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/OQP6WRFJXII6VJB3X2PWJFFIPU.jpg&w=1440","2020-06-09T18:38:35Z","With the emergence of national protests focused on the treatment of black Americans by police, Trumps two goals have come into conflict. Demonstrating unity with the police while exhibiting sympathy … [+3583 chars]","the-washington-post","The Washington Post"
"Valerie Strauss","A black schools superintendent talks personally about racism: I am a 'scared human being.’ Watch the video.","In emotional speech, he says: 'I, for the first time in my career, need to be fully honest around my experiences as a black man in America.'","https://www.washingtonpost.com/education/2020/06/09/black-schools-superintendent-talks-personally-about-racism-i-am-scared-human-being-watch-video/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/GYNYYVVKPMI6VJB3X2PWJFFIPU.jpg&w=1440","2020-06-09T18:32:28Z","Fennoy talked about his deep concerns for his son, saying that he taught him to be polite so that he would not antagonize anyone. I want my child to survive the encounter, and he said the same thing … [+8607 chars]","the-washington-post","The Washington Post"
"Rachel Siegel","25,000 stores over coronavirus impacts","An estimated 3 in 5 of those closures will occur in shopping centers, according to Coresight Research.","https://www.washingtonpost.com/business/2020/06/09/retail-store-closure-mall/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/5YVMGNU3X4I6VLLZ5334242GIE.jpg&w=1440","2020-06-09T18:09:46Z","Given that recovery to precrisis levels may be gradual, retailers that were struggling to stay in business precrisis are unlikely to have the wherewithal to stay the course on the road to recovery, C… [+3494 chars]","the-washington-post","The Washington Post"
"JM Rieger","How the Trump administration has tried to explain clearing protesters from Lafayette Square","The Trump administration has given differing and at times contradictory accounts of why protesters were cleared outside of Lafayette Square on June 1.","https://www.washingtonpost.com/politics/2020/06/09/how-trump-administration-has-tried-explain-clearing-protesters-lafayette-square/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://d1i4t8bqe7zgj6.cloudfront.net/06-09-2020/t_a6de66b227ff4ac19898443bd65ea2b0_name_f410c500_a463_11ea_898e_b21b9a83f792_scaled.jpg&w=1440","2020-06-09T17:59:48Z","Initially, White House spokesman Judd Deere said protesters were cleared to help enforce the [citys] 7 p.m. curfew.
In a June 2 statement describing police actions in Lafayette Square, U.S. Park Pol… [+2119 chars]","the-washington-post","The Washington Post"
"Ilan Ben Zion | AP","Israeli court strikes down law legalizing settlement homes","Israel's high court has struck down a contentious law that sought to retroactively legalize thousands of West Bank settlement homes built unlawfully on private Palestinian land","https://www.washingtonpost.com/world/middle_east/israeli-court-strikes-down-law-legalizing-settlement-homes/2020/06/09/268b66de-aa77-11ea-a43b-be9f6494a87d_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=&w=1440","2020-06-09T17:32:12Z","The courts decision was criticized by the ruling pro-settlement Likud party, but welcomed by its coalition partners in the Blue and White party, exposing a rift in the fragile new government.
The co… [+2370 chars]","the-washington-post","The Washington Post"
"Jonathan O'Connell","Following messy start, enormous Paycheck Protection Program shows signs of buttressing economy","The government’s Paycheck Protection Program initially ran dry, prompting outrage. The new problem: Now not enough businesses are taking advantage.","https://www.washingtonpost.com/business/2020/06/09/how-effective-is-ppp-small-business/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/OXQU6SEJSYI6VAG72JFTLJLIVY.jpg&w=1440","2020-06-09T17:13:22Z","But they also think things would be even worse without the giant corporate loan forgiveness program, which Sen. Marco Rubio (R-Fla.) shepherded through Congress and then helped defend during chaotic … [+16626 chars]","the-washington-post","The Washington Post"
"Paul Waldman","As Trump shows more signs of deteriorating, GOP candidates are tied to his fate","Whether they like it or not, he'll determine their political fate.","https://www.washingtonpost.com/opinions/2020/06/09/trump-shows-more-signs-deteriorating-gop-candidates-are-tied-his-fate/","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/YAJW2ZVJ2EI6VJB3X2PWJFFIPU.jpg&w=1440","2020-06-09T17:03:33Z","Full coverage of the George Floyd protests
Trumps rage-tweeting is nothing new. But five months from the election, he holds not just the fate of his own campaign but those of every Republican in his… [+4245 chars]","the-washington-post","The Washington Post"
"Fenit Nirappil","‘They already screwed us over’: D.C. mayor reflects on showdown with Trump - The Washington Post","<ol><li>‘They already screwed us over’: D.C. mayor reflects on showdown with Trump  The Washington Post
</li><li>Barrier around Lafayette Square to be removed by Wednesday | TheHill  The Hill
</li><li>In Washington, D.C., a Weekend of Growing and Evolving P…","https://www.washingtonpost.com/local/dc-politics/muriel-bowser-interview-trump/2020/06/09/77591720-aa5c-11ea-a9d9-a81c1a491c52_story.html","https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/SKMWF5VKMEI6VKOZVAOBUSI4KI.jpg&w=1440","2020-06-09T17:03:26Z","Bowsers left-leaning critics, who want her to defund the police department, slow gentrification and greatly expand housing for the poor, dismissed the renaming as an empty gesture. Others hailed her … [+6381 chars]","the-washington-post","The Washington Post"
