"author","title","description","url","urlToImage","publishedAt","content","newsSite","title_description_content"
"Kris Osborn","New F-22 weapons now 'operational' and ready for war","Newly-integrated U.S. Air Force F-22 Raptor weapons are now operational, bringing expanded air-to-air and air-to-ground attack technology to the stealth fighter following the production of a multi-year software upgrade program intended to prepare the jet for …","https://www.foxnews.com/tech/f-22-weapons-operational-ready-for-war","https://static.foxnews.com/foxnews.com/content/uploads/2018/12/b2425dc0-F22Closeup.jpg","2020-06-01T20:28:22Z","Newly integrated U.S. Air Force F-22 Raptor weapons are now operational, bringing expanded air-to-air and air-to-ground attack technology to the stealth fighter following the production of a multi-ye… [+4044 chars]","fox-news","New F-22 weapons now 'operational' and ready for war Newly-integrated U.S. Air Force F-22 Raptor weapons are now operational, bringing expanded air-to-air and air-to-ground attack technology to the stealth fighter following the production of a multi-year software upgrade program intended to prepare the jet for … Newly integrated U.S. Air Force F-22 Raptor weapons are now operational, bringing expanded air-to-air and air-to-ground attack technology to the stealth fighter following the production of a multi-ye… [+4044 chars]"
"Michael Hollan","Airline captain asks people to 'buy airline tickets' like they 'bought toilet paper'","This pilot wants airline tickets to be the new toilet paper… kind of.","https://www.foxnews.com/travel/airline-captain-buy-tickets-like-toilet-paper","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Virgin-Captin-Chris-Sign-2psd.jpg","2020-06-01T20:25:43Z","Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.
This pilot wants airline tickets to be the new toilet paper... kind of.
When news of the coronavirus pan… [+1803 chars]","fox-news","Airline captain asks people to 'buy airline tickets' like they 'bought toilet paper' This pilot wants airline tickets to be the new toilet paper… kind of. Get all the latest news on coronavirus and more delivered daily to your inbox. Sign up here.
This pilot wants airline tickets to be the new toilet paper... kind of.
When news of the coronavirus pan… [+1803 chars]"
"Gary Gastelu","Here's how many Chevrolet Corvette Stingrays will be built in 2020","Won't be a record-setter.","https://www.foxnews.com/auto/how-many-chevrolet-corvette-stingrays-will-be-built-in-2020","https://media2.foxnews.com/BrightCove/694940094001/2019/07/19/694940094001_6061629874001_6061634133001-vs.jpg","2020-06-01T20:23:13Z","The first mid-engine Chevrolet Corvette won’t be setting any sales records this year, but it very likely will be sold out.
Due to last fall’s UAW strike and the manufacturing suspension caused by th… [+1041 chars]","fox-news","Here's how many Chevrolet Corvette Stingrays will be built in 2020 Won't be a record-setter. The first mid-engine Chevrolet Corvette won’t be setting any sales records this year, but it very likely will be sold out.
Due to last fall’s UAW strike and the manufacturing suspension caused by th… [+1041 chars]"
"Joseph Wulfsohn","Rush Limbaugh, 'Breakfast Club' find common ground during rare radio broadcast about George Floyd","In a first-time dialogue between two of the biggest brands in political radio, conservative icon Rush Limbaugh and the progressive co-hosts of ""The Breakfast Club"" found common ground in a candid conversation about the death of George Floyd.","https://www.foxnews.com/media/rush-limbaugh-breakfast-club-george-floyd","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/The-Breakfast-Club-Limbaugh.jpg","2020-06-01T20:19:11Z","In a first-time dialogue between two of the biggest brands in political radio, conservative icon Rush Limbaugh and the progressive co-hosts of ""The Breakfast Club"" -- Charlamagne tha God, DJ Envy, an… [+4229 chars]","fox-news","Rush Limbaugh, 'Breakfast Club' find common ground during rare radio broadcast about George Floyd In a first-time dialogue between two of the biggest brands in political radio, conservative icon Rush Limbaugh and the progressive co-hosts of ""The Breakfast Club"" found common ground in a candid conversation about the death of George Floyd. In a first-time dialogue between two of the biggest brands in political radio, conservative icon Rush Limbaugh and the progressive co-hosts of ""The Breakfast Club"" -- Charlamagne tha God, DJ Envy, an… [+4229 chars]"
"Brooke Singman","McConnell: George Floyd protests 'hijacked' by rioters committing 'unjust violence’","Senate Majority Leader Mitch McConnell said Monday that the previously peaceful protests over George Floyd's death in police custody have been “hijacked” by rioters committing “unjust violence.”","https://www.foxnews.com/politics/mcconnell-george-floyd-protests-hijacked-rioters-unjust-violence","https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/70eb5755-490f-4d7d-a00b-a88728f079fd/be400fd9-e864-4e18-8339-2e80ad3f1073/1280x720/match/image.jpg","2020-06-01T20:17:00Z","Senate Majority Leader Mitch McConnell said Monday that the previously peaceful protests over George Floyd's death in police custody have been “hijacked” by rioters committing “unjust violence.”
McC… [+4654 chars]","fox-news","McConnell: George Floyd protests 'hijacked' by rioters committing 'unjust violence’ Senate Majority Leader Mitch McConnell said Monday that the previously peaceful protests over George Floyd's death in police custody have been “hijacked” by rioters committing “unjust violence.” Senate Majority Leader Mitch McConnell said Monday that the previously peaceful protests over George Floyd's death in police custody have been “hijacked” by rioters committing “unjust violence.”
McC… [+4654 chars]"
"Jon Costantino","Judge Andrew Napolitano: Some Of The President’ Words Exacerbate Tensions, Not Lighten Them","On Fox Across America with Jimmy Failla, Judge Andrew Napolitano discussed why President Trump needs to address the nation and why saying some states' governors will look like ""a bunch of jerks"" only will make current climate worse. ""We are witnessing failure…","https://radio.foxnews.com/2020/06/01/__trashed-33/","https://radio.foxnews.com/wp-content/uploads/2018/06/Judge-Andrew-Napolitano-FoxNews-Insider.png","2020-06-01T20:13:56Z","On Fox Across America with Jimmy Failla, Judge Andrew Napolitano discussed why President Trump needs to address the nation and why saying some states' governors will look like ""a bunch of jerks"" only… [+1282 chars]","fox-news","Judge Andrew Napolitano: Some Of The President’ Words Exacerbate Tensions, Not Lighten Them On Fox Across America with Jimmy Failla, Judge Andrew Napolitano discussed why President Trump needs to address the nation and why saying some states' governors will look like ""a bunch of jerks"" only will make current climate worse. ""We are witnessing failure… On Fox Across America with Jimmy Failla, Judge Andrew Napolitano discussed why President Trump needs to address the nation and why saying some states' governors will look like ""a bunch of jerks"" only… [+1282 chars]"
"Robert Gearty","Wisconsin mayor's wife hit with pepper spray during George Floyd protest","The wife of a Wisconsin mayor suffered an injury when she was hit with pepper spray as she took part in in a George Floyd protest, according to a report.","https://www.foxnews.com/us/wisconsin-mayor-wife-hit-with-pepper-spray-during-george-floyd-protest","https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Tim-Kabat.jpg","2020-06-01T20:10:38Z","The wife of a Wisconsin mayor suffered an injury when she was hit with pepper spray as she took part in a protest over the death while in police custody of George Floyd, according to a report.
The p… [+1349 chars]","fox-news","Wisconsin mayor's wife hit with pepper spray during George Floyd protest The wife of a Wisconsin mayor suffered an injury when she was hit with pepper spray as she took part in in a George Floyd protest, according to a report. The wife of a Wisconsin mayor suffered an injury when she was hit with pepper spray as she took part in a protest over the death while in police custody of George Floyd, according to a report.
The p… [+1349 chars]"
"Yael Halon","Ben Shapiro's message to looters: 'You're not honoring George Floyd's memory ... by stealing a TV'","An ""angry"" Ben Shapiro spent Monday's ""Ben Shapiro Show"" podcast responding to the ongoing chaos and violent protests stemming from the death of George Floyd, which has lead to at least eight deaths, dozens of injuries, hundreds of arrests, and the destructio…","https://www.foxnews.com/media/ben-shapiro-rioters-looters-dishonoring-george-floyd","https://static.foxnews.com/foxnews.com/content/uploads/2018/09/ben-shapiro.jpg","2020-06-01T20:05:12Z","An ""angry"" Ben Shapiro spent Monday's ""Ben Shapiro Show"" podcast responding to the ongoing chaos and violent protests stemming from the death of George Floyd, which has lead to at least eight deaths,… [+2818 chars]","fox-news","Ben Shapiro's message to looters: 'You're not honoring George Floyd's memory ... by stealing a TV' An ""angry"" Ben Shapiro spent Monday's ""Ben Shapiro Show"" podcast responding to the ongoing chaos and violent protests stemming from the death of George Floyd, which has lead to at least eight deaths, dozens of injuries, hundreds of arrests, and the destructio… An ""angry"" Ben Shapiro spent Monday's ""Ben Shapiro Show"" podcast responding to the ongoing chaos and violent protests stemming from the death of George Floyd, which has lead to at least eight deaths,… [+2818 chars]"
"Daniel Canova","Patrick Mahomes releases statement calling for change following George Floyd's death","Kansas City Chiefs Super Bowl MVP quarterback Patrick Mahomes is the latest athlete to express his thoughts on the death of George Floyd and the violent protests happening around the country.","https://www.foxnews.com/sports/patrick-mahomes-george-floyd-death-response","https://static.foxnews.com/foxnews.com/content/uploads/2020/01/Patrick-Mahomes18.jpg","2020-06-01T20:04:00Z","Kansas City Chiefs Super Bowl MVP quarterback Patrick Mahomes is the latest athlete to express his thoughts on the death of George Floyd and riots unfolding around the U.S., explaining what he hopes … [+2062 chars]","fox-news","Patrick Mahomes releases statement calling for change following George Floyd's death Kansas City Chiefs Super Bowl MVP quarterback Patrick Mahomes is the latest athlete to express his thoughts on the death of George Floyd and the violent protests happening around the country. Kansas City Chiefs Super Bowl MVP quarterback Patrick Mahomes is the latest athlete to express his thoughts on the death of George Floyd and riots unfolding around the U.S., explaining what he hopes … [+2062 chars]"
"Jon Costantino","Ted Williams: Time For Curfews To Be Enforced Earlier In The Daytime","On Fox Across America with Jimmy Failla, Fox News Contributor and former DC homicide detective Ted Williams described how law enforcement could prevent more rioting and destruction by strongly enforcing curfews earlier in the evening. ""It's nothing that Presi…","https://radio.foxnews.com/2020/06/01/ted-williams-time-for-curfews-to-be-enforced-earlier-in-the-daytime/","https://radio.foxnews.com/wp-content/uploads/2020/06/download.jpg","2020-06-01T20:00:28Z","On Fox Across America with Jimmy Failla, Fox News Contributor and former DC homicide detective Ted Williams described how law enforcement could prevent more rioting and destruction by strongly enforc… [+1095 chars]","fox-news","Ted Williams: Time For Curfews To Be Enforced Earlier In The Daytime On Fox Across America with Jimmy Failla, Fox News Contributor and former DC homicide detective Ted Williams described how law enforcement could prevent more rioting and destruction by strongly enforcing curfews earlier in the evening. ""It's nothing that Presi… On Fox Across America with Jimmy Failla, Fox News Contributor and former DC homicide detective Ted Williams described how law enforcement could prevent more rioting and destruction by strongly enforc… [+1095 chars]"
"MPX","Morning Joe 6/1/20","Joe and Mika discuss the big news of the day.","http://www.msnbc.com/morning-joe/episodes/watch/morning-joe-6-1-20-episode","http://www.msnbc.com/sites/msnbc/files/styles/ratio--16-9--1067x600/public/videos/200522_4173133_Morning_Joe_6_1_20_800x450_1744975939766.jpg?itok=gTzEbv0A","2020-06-01T17:41:00Z","Morning Joe 06/01/20 
 Joe and Mika discuss the big news of the day. descriptionLimit""&gt;
 ...moreDuration: {{video.duration.momentjs}}
Up next in:
 Morning Joe full episodes","msnbc","Morning Joe 6/1/20 Joe and Mika discuss the big news of the day. Morning Joe 06/01/20 
 Joe and Mika discuss the big news of the day. descriptionLimit""&gt;
 ...moreDuration: {{video.duration.momentjs}}
Up next in:
 Morning Joe full episodes"
"Msnbc","Trump says a bit too much: 'MAGA loves the black people'","There are the president's people, and there are African Americans, but he doesn't see them as one and the same.","https://www.msnbc.com/rachel-maddow-show/trump-says-bit-too-much-maga-loves-black-people-n1221011","https://media4.s-nbcnews.com/j/newscms/2020_22/3372871/200531-donald-trump-ew-1027p_cdce3ea0c443710d0ef63da938e48f03.nbcnews-fp-1200-630.jpg","2020-06-01T14:47:59Z","On Saturday morning, after a tense scene at the White House the night before, Donald Trump published an unfortunate tweet, which not only openly mocked protestors, but also hinted at the president's … [+2196 chars]","msnbc","Trump says a bit too much: 'MAGA loves the black people' There are the president's people, and there are African Americans, but he doesn't see them as one and the same. On Saturday morning, after a tense scene at the White House the night before, Donald Trump published an unfortunate tweet, which not only openly mocked protestors, but also hinted at the president's … [+2196 chars]"
"Msnbc","Floyd's brother: Trump didn't 'give me the opportunity to even speak'","Referring to himself in third person in 2015, Trump said empathy would be ""one of the strongest things about Trump."" The evidence to the contrary is plain.","https://www.msnbc.com/rachel-maddow-show/floyd-s-brother-trump-didn-t-give-me-opportunity-even-n1220931","https://media1.s-nbcnews.com/j/newscms/2020_22/3366741/200527-donald-trump-oval-office-2018-ac-1026p_4fa71f567a53762d7cb6c1e46e5494dd.nbcnews-fp-1200-630.jpg","2020-06-01T13:27:48Z","On Friday, Donald Trump told reporters that he'd spoken to members of George Floyd's family and expressed his ""sorrow."" Asked if the family had a message for him, the president didn't answer directly… [+3020 chars]","msnbc","Floyd's brother: Trump didn't 'give me the opportunity to even speak' Referring to himself in third person in 2015, Trump said empathy would be ""one of the strongest things about Trump."" The evidence to the contrary is plain. On Friday, Donald Trump told reporters that he'd spoken to members of George Floyd's family and expressed his ""sorrow."" Asked if the family had a message for him, the president didn't answer directly… [+3020 chars]"
"Msnbc","As crises rage, Donald Trump 'was not built for times like this'","Trump has repeatedly been asked how he can best bring Americans together. In each instance, he responded as if he didn't understand the question.","https://www.msnbc.com/rachel-maddow-show/crises-rage-donald-trump-was-not-built-times-n1220596","https://media1.s-nbcnews.com/j/newscms/2020_22/3368331/200528-donald-trump-ew-554p_2d78d9e9737983b2bccbbe280aee6f94.nbcnews-fp-1200-630.jpg","2020-06-01T12:04:55Z","An Associated Press report over the weekend summarized the kind of conditions Americans are unaccustomed to confronting.
Over 48 hours in America, the official death toll from the coronavirus pandem… [+4523 chars]","msnbc","As crises rage, Donald Trump 'was not built for times like this' Trump has repeatedly been asked how he can best bring Americans together. In each instance, he responded as if he didn't understand the question. An Associated Press report over the weekend summarized the kind of conditions Americans are unaccustomed to confronting.
Over 48 hours in America, the official death toll from the coronavirus pandem… [+4523 chars]"
"Kevin Brown","How Collapsing Oil Prices Could Unravel Global Security","From Russia to Saudi Arabia to Latin America, the costs of the energy industry reckoning are proving enormous.
The post How Collapsing Oil Prices Could Unravel Global Security appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/how-collapsing-oil-prices-could-unravel-global-security/","https://www.theamericanconservative.com/wp-content/uploads/2020/06/GettyImages-948088798.jpg","2020-06-01T20:03:02Z","From Russia to Saudi Arabia to Latin America, the costs of the energy industry reckoning are proving enormous.As the coronavirus wears on, global fossil fuel demand is collapsing. We’ve come a long w… [+6485 chars]","the-american-conservative","How Collapsing Oil Prices Could Unravel Global Security From Russia to Saudi Arabia to Latin America, the costs of the energy industry reckoning are proving enormous.
The post How Collapsing Oil Prices Could Unravel Global Security appeared first on The American Conservative. From Russia to Saudi Arabia to Latin America, the costs of the energy industry reckoning are proving enormous.As the coronavirus wears on, global fossil fuel demand is collapsing. We’ve come a long w… [+6485 chars]"
"Matt Purple","The ‘Nothing Matters’ Rioters","Out-of-staters and professional nihilists have turned protests against George Floyd's death into chaos.
The post The ‘Nothing Matters’ Rioters appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/the-nothing-matters-rioters/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/GettyImages-1216479401.jpg","2020-06-01T04:01:57Z","Out-of-staters and professional nihilists have turned protests against George Floyd's death into chaos.It was a funny thing over the weekend. You could turn on CNN and find officials deploring the vi… [+7325 chars]","the-american-conservative","The ‘Nothing Matters’ Rioters Out-of-staters and professional nihilists have turned protests against George Floyd's death into chaos.
The post The ‘Nothing Matters’ Rioters appeared first on The American Conservative. Out-of-staters and professional nihilists have turned protests against George Floyd's death into chaos.It was a funny thing over the weekend. You could turn on CNN and find officials deploring the vi… [+7325 chars]"
"Paul du Quenoy","Why You Don’t See Napoleon’s Wars Taught Like This Anymore","A new examination of the global Coalition Wars flies in the face of the academy's current ahistorical orthodoxies.
The post Why You Don’t See Napoleon’s Wars Taught Like This Anymore appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/napoleon-and-the-fall-of-historical-study/","https://www.theamericanconservative.com/wp-content/uploads/2020/06/napoleon.jpg","2020-06-01T04:01:44Z","A new examination of the global Coalition Wars flies in the face of the academy's current ahistorical orthodoxies.The Napoleonic Wars: A Global History, Alexander Mikaberidze, Oxford University Press… [+5125 chars]","the-american-conservative","Why You Don’t See Napoleon’s Wars Taught Like This Anymore A new examination of the global Coalition Wars flies in the face of the academy's current ahistorical orthodoxies.
The post Why You Don’t See Napoleon’s Wars Taught Like This Anymore appeared first on The American Conservative. A new examination of the global Coalition Wars flies in the face of the academy's current ahistorical orthodoxies.The Napoleonic Wars: A Global History, Alexander Mikaberidze, Oxford University Press… [+5125 chars]"
"Anthony Hennen","The Future Of Higher Education Will Be The Same, But Worse","The coronavirus crisis will do nothing to address big barriers to fundamental reform
The post The Future Of Higher Education Will Be The Same, But Worse appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/the-future-of-higher-education-will-be-the-same-but-worse/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/GettyImages-473701908-1024x683.jpg","2020-06-01T04:01:32Z","The coronavirus crisis will do nothing to address big barriers to fundamental reformThe uncertainty that American colleges now face has sparked bombastic proclamations from reformers. A coming disrup… [+9028 chars]","the-american-conservative","The Future Of Higher Education Will Be The Same, But Worse The coronavirus crisis will do nothing to address big barriers to fundamental reform
The post The Future Of Higher Education Will Be The Same, But Worse appeared first on The American Conservative. The coronavirus crisis will do nothing to address big barriers to fundamental reformThe uncertainty that American colleges now face has sparked bombastic proclamations from reformers. A coming disrup… [+9028 chars]"
"Frank Furedi","‘Safe Spaces’ Enjoying a Morbid Surge in Coronavirus","Not only are people retreating for their health, but many are using the virus as an excuse to create 'judgement-free' zones. 
The post ‘Safe Spaces’ Enjoying a Morbid Surge in Coronavirus appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/safe-spaces-enjoying-a-morbid-surge-in-coronavirus/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/couple-on-devices.jpg","2020-06-01T04:01:11Z","Not only are people retreating for their health, but many are using the virus as an excuse to create 'judgement-free' zones. In the Anglo-American world, where the idealization of a safe space has ga… [+7732 chars]","the-american-conservative","‘Safe Spaces’ Enjoying a Morbid Surge in Coronavirus Not only are people retreating for their health, but many are using the virus as an excuse to create 'judgement-free' zones. 
The post ‘Safe Spaces’ Enjoying a Morbid Surge in Coronavirus appeared first on The American Conservative. Not only are people retreating for their health, but many are using the virus as an excuse to create 'judgement-free' zones. In the Anglo-American world, where the idealization of a safe space has ga… [+7732 chars]"
"Robert Moore","Why the U.S. Will Never End Iranian Influence in Iraq","Time to admit that we lost this fight, if it ever could be won, a long time ago.
The post Why the U.S. Will Never End Iranian Influence in Iraq appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/why-the-u-s-will-never-end-iranian-influence-in-iraq/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/iraq-najaf.jpg","2020-05-30T04:01:28Z","Time to admit that we lost this fight, if it ever could be won, a long time ago.There is a power struggle in Baghdad. The country is torn between Arab influences from the west and a militant theocrac… [+4994 chars]","the-american-conservative","Why the U.S. Will Never End Iranian Influence in Iraq Time to admit that we lost this fight, if it ever could be won, a long time ago.
The post Why the U.S. Will Never End Iranian Influence in Iraq appeared first on The American Conservative. Time to admit that we lost this fight, if it ever could be won, a long time ago.There is a power struggle in Baghdad. The country is torn between Arab influences from the west and a militant theocrac… [+4994 chars]"
"Jim Bovard","Cops Kill Because We Gave Them The Legal Framework to Do It","Rather than burning and looting, protesters should turn their ire on lawmakers and judges who facilitate police immunity.
The post Cops Kill Because We Gave Them The Legal Framework to Do It appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/cops-kill-because-we-gave-them-the-legal-framework-to-do-it/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/floyd.png","2020-05-30T04:01:14Z","Rather than burning and looting, protesters should turn their ire on lawmakers and judges who facilitate police immunity.The brutal Minneapolis police killing of George Floyd has sparked violent prot… [+8684 chars]","the-american-conservative","Cops Kill Because We Gave Them The Legal Framework to Do It Rather than burning and looting, protesters should turn their ire on lawmakers and judges who facilitate police immunity.
The post Cops Kill Because We Gave Them The Legal Framework to Do It appeared first on The American Conservative. Rather than burning and looting, protesters should turn their ire on lawmakers and judges who facilitate police immunity.The brutal Minneapolis police killing of George Floyd has sparked violent prot… [+8684 chars]"
"Clyde Wayne Crews and Jessica Melugin","Embracing the Idea of Unregulated Fake News Everywhere","Because letting government decide what is 'misinformation' now could end with restrictions on political speech later.
The post Embracing the Idea of Unregulated Fake News Everywhere appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/embracing-the-idea-of-unregulated-fake-news-everywhere/","https://www.theamericanconservative.com/wp-content/uploads/2015/09/shutterstock_181358384.jpg","2020-05-30T04:01:06Z","Because letting government decide what is 'misinformation' now could end with restrictions on political speech later.Recently a controversy arose over a CBS News shot of a supposed line for coronavir… [+3910 chars]","the-american-conservative","Embracing the Idea of Unregulated Fake News Everywhere Because letting government decide what is 'misinformation' now could end with restrictions on political speech later.
The post Embracing the Idea of Unregulated Fake News Everywhere appeared first on The American Conservative. Because letting government decide what is 'misinformation' now could end with restrictions on political speech later.Recently a controversy arose over a CBS News shot of a supposed line for coronavir… [+3910 chars]"
"Michael Hendrix","Kickstarting Institutionalism in Order to Rebuild Society","You can't unsee the decline Yuval Levin traces in his new book, but luckily he charts a path to renewal, too.
The post Kickstarting Institutionalism in Order to Rebuild Society appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/kickstarting-institutionalism-in-order-to-rebuild-society/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/shutterstock_661637932.jpg","2020-05-30T04:01:04Z","You can't unsee the decline Yuval Levin traces in his new book, but luckily he charts a path to renewal, too.A Time to Build: From Family and Community to Congress and the Campus, How Recommitting to… [+7959 chars]","the-american-conservative","Kickstarting Institutionalism in Order to Rebuild Society You can't unsee the decline Yuval Levin traces in his new book, but luckily he charts a path to renewal, too.
The post Kickstarting Institutionalism in Order to Rebuild Society appeared first on The American Conservative. You can't unsee the decline Yuval Levin traces in his new book, but luckily he charts a path to renewal, too.A Time to Build: From Family and Community to Congress and the Campus, How Recommitting to… [+7959 chars]"
"Itxu Diaz","Hope and Humor on G.K. Chesterton’s 146th Birthday","Right now we could use a little of the writer’s common sense and discernment in the face of fear and uncertainty. 
The post Hope and Humor on G.K. Chesterton’s 146th Birthday appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/hope-and-humor-on-g-k-chestertons-146th-birthday/","https://www.theamericanconservative.com/wp-content/uploads/2019/08/Chesterton-at-desk.jpg","2020-05-29T17:00:44Z","Right now we could use a little of the writers common sense and discernment in the face of fear and uncertainty. One of my best friends, Paco Olea, died six years ago now. During his last days, while… [+8750 chars]","the-american-conservative","Hope and Humor on G.K. Chesterton’s 146th Birthday Right now we could use a little of the writer’s common sense and discernment in the face of fear and uncertainty. 
The post Hope and Humor on G.K. Chesterton’s 146th Birthday appeared first on The American Conservative. Right now we could use a little of the writers common sense and discernment in the face of fear and uncertainty. One of my best friends, Paco Olea, died six years ago now. During his last days, while… [+8750 chars]"
"Arthur Bloom","The Right Now Interview: Jeff Sessions on his Florida Man Opponent and the Free-Trade ‘Religion’","'I have come to understand that the neocon foreign policy, the libertarian free market ideology, beyond common sense, was not healthy'
The post The Right Now Interview: Jeff Sessions on his Florida Man Opponent and the Free-Trade ‘Religion’ appeared first on …","https://www.theamericanconservative.com/articles/the-right-now-interview-jeff-sessions-on-his-florida-man-opponent-and-the-free-trade-religion/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/shutterstock_1227485329.jpg","2020-05-29T12:08:00Z","'I have come to understand that the neocon foreign policy, the libertarian free market ideology, beyond common sense, was not healthy'The following is an edited excerpt from former Senator and Attorn… [+8114 chars]","the-american-conservative","The Right Now Interview: Jeff Sessions on his Florida Man Opponent and the Free-Trade ‘Religion’ 'I have come to understand that the neocon foreign policy, the libertarian free market ideology, beyond common sense, was not healthy'
The post The Right Now Interview: Jeff Sessions on his Florida Man Opponent and the Free-Trade ‘Religion’ appeared first on … 'I have come to understand that the neocon foreign policy, the libertarian free market ideology, beyond common sense, was not healthy'The following is an edited excerpt from former Senator and Attorn… [+8114 chars]"
"Curt Mills","VP Pence Could Be the Victim of a Trump Campaign Swap Out","An insecure president has become a vulnerable incumbent. There are indications he’s considering a radical option.
The post VP Pence Could Be the Victim of a Trump Campaign Swap Out appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/vp-pence-could-be-the-victim-of-a-trump-campaign-swap-out/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/haley-pence-grenell.png","2020-05-29T04:01:29Z","An insecure president has become a vulnerable incumbent. There are indications hes considering radical options.
If you think about it — the most important moments in your life — were you alone? Ryan… [+10832 chars]","the-american-conservative","VP Pence Could Be the Victim of a Trump Campaign Swap Out An insecure president has become a vulnerable incumbent. There are indications he’s considering a radical option.
The post VP Pence Could Be the Victim of a Trump Campaign Swap Out appeared first on The American Conservative. An insecure president has become a vulnerable incumbent. There are indications hes considering radical options.
If you think about it — the most important moments in your life — were you alone? Ryan… [+10832 chars]"
"Drew Johnson","Is Delaware’s Governor Limiting COVID Tests to Help Political Allies ?","For-profit testing companies have been banned, swelling the potential reimbursements for several state healthcare systems.
The post Is Delaware’s Governor Limiting COVID Tests to Help Political Allies ? appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/is-delawares-governor-limiting-covid-tests-to-help-political-allies/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/GettyImages-968034182.jpg","2020-05-29T04:01:27Z","For-profit testing companies have been banned, swelling the potential reimbursements for several state healthcare systemsCOVID-19 antibody testing is considered crucial to reopening the economy and r… [+8138 chars]","the-american-conservative","Is Delaware’s Governor Limiting COVID Tests to Help Political Allies ? For-profit testing companies have been banned, swelling the potential reimbursements for several state healthcare systems.
The post Is Delaware’s Governor Limiting COVID Tests to Help Political Allies ? appeared first on The American Conservative. For-profit testing companies have been banned, swelling the potential reimbursements for several state healthcare systemsCOVID-19 antibody testing is considered crucial to reopening the economy and r… [+8138 chars]"
"James Howard Kunstler","A Kid at Large In the Center of the Universe","Manhattan was once accessible and enriching for children—even wandering on their own.
The post A Kid at Large In the Center of the Universe appeared first on The American Conservative.","https://www.theamericanconservative.com/urbs/a-kid-at-large-in-the-center-of-the-universe/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/kunstler.jpg","2020-05-29T04:01:10Z","Manhattan was once accessible and enriching for childreneven wandering on their own.I did not know that moving to Manhattan in 1957 had anything to offer me because everything that fall seemed a form… [+6552 chars]","the-american-conservative","A Kid at Large In the Center of the Universe Manhattan was once accessible and enriching for children—even wandering on their own.
The post A Kid at Large In the Center of the Universe appeared first on The American Conservative. Manhattan was once accessible and enriching for childreneven wandering on their own.I did not know that moving to Manhattan in 1957 had anything to offer me because everything that fall seemed a form… [+6552 chars]"
"Hunter DeRensis","Nevertheless, Pro-Life Democrat Ellen McCormack Persisted","This is the story of a middle class Catholic grandmother who took on the feminists and and ran for president in 1975.
The post Nevertheless, Pro-Life Democrat Ellen McCormack Persisted appeared first on The American Conservative.","https://www.theamericanconservative.com/articles/nevertheless-pro-life-democrat-ellen-mccormack-persisted/","https://www.theamericanconservative.com/wp-content/uploads/2020/05/GettyImages-462423378-e1590698813214.jpg","2020-05-29T04:01:00Z","This is the story of a middle class Catholic grandmother who took on the feminists and and ran for president in 1975.“The infant would be delivered. The infant would be kept comfortable, said Virgini… [+21732 chars]","the-american-conservative","Nevertheless, Pro-Life Democrat Ellen McCormack Persisted This is the story of a middle class Catholic grandmother who took on the feminists and and ran for president in 1975.
The post Nevertheless, Pro-Life Democrat Ellen McCormack Persisted appeared first on The American Conservative. This is the story of a middle class Catholic grandmother who took on the feminists and and ran for president in 1975.“The infant would be delivered. The infant would be kept comfortable, said Virgini… [+21732 chars]"
